source_file,total_lump,canonical_name,raw_name,spec,unit,qty,mat_amount,labor_amount,exp_amount,total_amount
소형평수 330만원.xlsx,3300000,바탕정리,바탕정리,,식,1.0,30000.0,70000.0,0,100000.0
소형평수 330만원.xlsx,3300000,바탕조정제부분미장,"바탕조정제
부분미장",,식,1.0,0,0,0,0.0
소형평수 330만원.xlsx,3300000,하도프라이머,하도 프라이머,,식,1.0,90000.0,110000.0,0,200000.0
소형평수 330만원.xlsx,3300000,복합시트,복합 시트,2.3mm,식,1.0,800000.0,450000.0,50000.0,1300000.0
소형평수 330만원.xlsx,3300000,쪼인트실란트보강포부착,"쪼인트 실란트 
보강포 부착",,식,1.0,120000.0,180000.0,0,300000.0
소형평수 330만원.xlsx,3300000,노출우레탄,노출 우레탄,중도 1.5mm(2회),식,1.0,650000.0,400000.0,50000.0,1100000.0
소형평수 330만원.xlsx,3300000,벽체우레탄,벽체 우레탄,중도 1mm(2회),m2,0,0.0,0.0,0,0.0
소형평수 330만원.xlsx,3300000,우레탄상도,우레탄 상도,탑코팅,식,1.0,140000.0,160000.0,0,300000.0
소형평수 330만원.xlsx,3300000,사다리차,사다리차,,일,1.0,0,0,120000.0,120000.0
소형평수 330만원.xlsx,3300000,폐기물처리,폐기물 처리,,식,1.0,0,0,0,0.0
소형평수 330만원.xlsx,3300000,드라이비트절개,드라이비트 절개,,식,1.0,0,0,0,0.0
소형평수 380만원.xlsx,3800000,바탕정리,바탕정리,,식,1.0,50000.0,100000.0,0,150000.0
소형평수 380만원.xlsx,3800000,바탕조정제부분미장,"바탕조정제
부분미장",,식,1.0,0,0,0,0.0
소형평수 380만원.xlsx,3800000,하도프라이머,하도 프라이머,,식,1.0,90000.0,110000.0,0,200000.0
소형평수 380만원.xlsx,3800000,복합시트,복합 시트,2.3mm,식,1.0,900000.0,550000.0,50000.0,1500000.0
소형평수 380만원.xlsx,3800000,쪼인트실란트보강포부착,"쪼인트 실란트 
보강포 부착",,식,1.0,180000.0,220000.0,0,400000.0
소형평수 380만원.xlsx,3800000,노출우레탄,노출 우레탄,중도 1.5mm(2회),식,1.0,700000.0,400000.0,50000.0,1150000.0
소형평수 380만원.xlsx,3800000,벽체우레탄,벽체 우레탄,중도 1mm(2회),m2,0,0.0,0.0,0,0.0
소형평수 380만원.xlsx,3800000,우레탄상도,우레탄 상도,탑코팅,식,1.0,220000.0,180000.0,0,400000.0
소형평수 380만원.xlsx,3800000,사다리차,사다리차,,일,1.0,0,0,120000.0,120000.0
소형평수 380만원.xlsx,3800000,폐기물처리,폐기물 처리,,식,1.0,0,0,0,0.0
소형평수 380만원.xlsx,3800000,드라이비트절개,드라이비트 절개,,식,1.0,0,0,0,0.0
소형평수 430만원.xlsx,4300000,바탕정리,바탕정리,,식,1.0,50000.0,100000.0,0,150000.0
소형평수 430만원.xlsx,4300000,바탕조정제부분미장,"바탕조정제
부분미장",,식,1.0,0,0,0,0.0
소형평수 430만원.xlsx,4300000,하도프라이머,하도 프라이머,,식,1.0,120000.0,130000.0,0,250000.0
소형평수 430만원.xlsx,4300000,복합시트,복합 시트,2.3mm,식,1.0,1050000.0,700000.0,50000.0,1800000.0
소형평수 430만원.xlsx,4300000,쪼인트실란트보강포부착,"쪼인트 실란트 
보강포 부착",,식,1.0,200000.0,250000.0,0,450000.0
소형평수 430만원.xlsx,4300000,노출우레탄,노출 우레탄,중도 1.5mm(2회),식,1.0,750000.0,450000.0,50000.0,1250000.0
소형평수 430만원.xlsx,4300000,벽체우레탄,벽체 우레탄,중도 1mm(2회),m2,0,0.0,0.0,0,0.0
소형평수 430만원.xlsx,4300000,우레탄상도,우레탄 상도,탑코팅,식,1.0,220000.0,180000.0,0,400000.0
소형평수 430만원.xlsx,4300000,사다리차,사다리차,,일,1.0,0,0,120000.0,120000.0
소형평수 430만원.xlsx,4300000,폐기물처리,폐기물 처리,,식,1.0,0,0,0,0.0
소형평수 430만원.xlsx,4300000,드라이비트절개,드라이비트 절개,,식,1.0,0,0,0,0.0
